2E-2 12.06 -3.34 
4E-2 10.45 -3.38 
6E-2 9.25 -3.42 
8E-2 8.33 -3.46 
1E-1 7.58 -3.5 
1.2E-1 6.96 -3.53 
1.4E-1 6.44 -3.57 
1.6E-1 6 -3.61 
1.8E-1 5.61 -3.64 
2E-1 5.27 -3.67 
2.2E-1 4.98 -3.71 
2.4E-1 4.71 -3.74 
2.6E-1 4.47 -3.77 
2.8E-1 4.25 -3.8 
3E-1 4.06 -3.82 
3.2E-1 3.88 -3.85 
3.4E-1 3.72 -3.88 
3.6E-1 3.57 -3.91 
3.8E-1 3.43 -3.93 
4E-1 3.3 -3.95 
4.2E-1 3.18 -3.98 
4.4E-1 3.07 -4 
4.6E-1 2.97 -4.02 
4.8E-1 2.87 -4.05 
5E-1 2.78 -4.07 
5.2E-1 2.69 -4.09 
5.4E-1 2.61 -4.11 
5.6E-1 2.54 -4.13 
5.8E-1 2.47 -4.15 
6E-1 2.4 -4.16 
6.2E-1 2.33 -4.18 
6.4E-1 2.27 -4.2 
6.6E-1 2.21 -4.21 
6.8E-1 2.16 -4.23 
7E-1 2.11 -4.25 
7.2E-1 2.06 -4.26 
7.4E-1 2.01 -4.28 
7.6E-1 1.96 -4.29 
7.8E-1 1.92 -4.3 
8E-1 1.88 -4.32 
8.2E-1 1.84 -4.33 
8.4E-1 1.8 -4.34 
8.6E-1 1.76 -4.36 
8.8E-1 1.73 -4.37 
9E-1 1.69 -4.38 
9.2E-1 1.66 -4.39 
9.4E-1 1.63 -4.4 
9.6E-1 1.6 -4.41 
9.8E-1 1.57 -4.42 
1 1.54 -4.43 
1.02 1.51 -4.44 
1.04 1.49 -4.45 
1.06 1.46 -4.46 
1.08 1.44 -4.47 
1.1 1.41 -4.48 
1.12 1.39 -4.49 
1.14 1.37 -4.49 
1.16 1.35 -4.5 
1.18 1.33 -4.51 
1.2 1.3 -4.52 
1.22 1.28 -4.52 
1.24 1.27 -4.53 
1.26 1.25 -4.54 
1.28 1.23 -4.54 
1.3 1.21 -4.55 
1.32 1.19 -4.56 
1.34 1.18 -4.56 
1.36 1.16 -4.57 
1.38 1.14 -4.57 
1.4 1.13 -4.58 
1.42 1.11 -4.59 
1.44 1.1 -4.59 
1.46 1.08 -4.6 
1.48 1.07 -4.6 
1.5 1.06 -4.6 
1.52 1.04 -4.61 
1.54 1.03 -4.61 
1.56 1.02 -4.62 
1.58 1.01 -4.62 
1.6 9.9E-1 -4.63 
1.62 9.8E-1 -4.63 
1.64 9.7E-1 -4.63 
1.66 9.6E-1 -4.64 
1.68 9.5E-1 -4.64 
1.7 9.4E-1 -4.64 
1.72 9.3E-1 -4.65 
1.74 9.2E-1 -4.65 
1.76 9.1E-1 -4.65 
1.78 9E-1 -4.66 
1.8 8.9E-1 -4.66 
1.82 8.8E-1 -4.66 
1.84 8.7E-1 -4.67 
1.86 8.6E-1 -4.67 
1.88 8.5E-1 -4.67 
1.9 8.4E-1 -4.67 
1.92 8.3E-1 -4.68 
1.94 8.2E-1 -4.68 
1.96 8.1E-1 -4.68 
1.98 8.1E-1 -4.68 
2 8E-1 -4.69 
2.02 7.9E-1 -4.69 
2.04 7.8E-1 -4.69 
2.06 7.7E-1 -4.69 
2.08 7.7E-1 -4.69 
2.1 7.6E-1 -4.7 
2.12 7.5E-1 -4.7 
2.14 7.5E-1 -4.7 
2.16 7.4E-1 -4.7 
2.18 7.3E-1 -4.7 
2.2 7.3E-1 -4.71 
2.22 7.2E-1 -4.71 
2.24 7.1E-1 -4.71 
2.26 7.1E-1 -4.71 
2.28 7E-1 -4.71 
2.3 6.9E-1 -4.71 
2.32 6.9E-1 -4.71 
2.34 6.8E-1 -4.72 
2.36 6.8E-1 -4.72 
2.38 6.7E-1 -4.72 
2.4 6.6E-1 -4.72 
2.42 6.6E-1 -4.72 
2.44 6.5E-1 -4.72 
2.46 6.5E-1 -4.72 
2.48 6.4E-1 -4.72 
