 0.02      0.09     56.63
 0.04      0.22     68.41
 0.06      0.39     80.86
 0.08      0.59     94.01
 0.10      0.84    107.88
 0.12      1.13    122.51
 0.14      1.45    137.93
 0.16      1.82    154.17
 0.18      2.22    171.28
 0.20      2.67    189.28
 0.22      3.16    208.23
 0.24      3.69    228.15
 0.26      4.26    249.09
 0.28      4.87    271.10
 0.30      5.53    294.21
 0.32      6.22    318.48
 0.34      6.96    343.96
 0.36      7.74    370.69
 0.38      8.57    398.74
 0.40      9.43    428.14
 0.42     10.34    458.97
 0.44     11.29    491.28
 0.46     12.28    525.13
 0.48     13.32    560.59
 0.50     14.40    597.72
 0.52     15.52    636.59
 0.54     16.68    677.28
 0.56     17.89    719.85
 0.58     19.14    764.39
 0.60     20.43    810.97
 0.62     21.77    859.68
 0.64     23.15    910.60
 0.66     24.57    963.83
 0.68     26.04   1019.46
 0.70     27.54   1077.58
 0.72     29.09   1138.30
 0.74     30.69   1201.72
 0.76     32.33   1267.94
 0.78     34.01   1337.08
 0.80     35.73   1409.26
 0.82     37.50   1484.59
 0.84     39.31   1563.20
 0.86     41.16   1645.23
 0.88     43.06   1730.80
 0.90     45.00   1820.06
 0.92     46.98   1913.15
 0.94     49.01   2010.22
 0.96     51.08   2111.43
 0.98     53.19   2216.94
 1.00     55.35   2326.92
 1.02     57.54   2441.54
 1.04     59.79   2560.98
 1.06     62.07   2685.44
 1.08     64.40   2815.09
 1.10     66.77   2950.16
 1.12     69.19   3090.84
 1.14     71.65   3237.36
 1.16     74.15   3389.93
 1.18     76.70   3548.79
 1.20     79.29   3714.18
 1.22     81.92   3886.36
 1.24     84.59   4065.58
 1.26     87.31   4252.11
 1.28     90.08   4446.23
 1.30     92.88   4648.23
 1.32     95.73   4858.42
 1.34     98.62   5077.09
 1.36    101.56   5304.57
 1.38    104.54   5541.21
 1.40    107.56   5787.33
 1.42    110.63   6043.31
 1.44    113.74   6309.51
 1.46    116.89   6586.32
 1.48    120.09   6874.14
 1.50    123.33   7173.38
 1.52    126.61   7484.47
 1.54    129.93   7807.86
 1.56    133.30   8144.00
 1.58    136.72   8493.37
 1.60    140.17   8856.47
 1.62    143.67   9233.81
 1.64    147.22   9625.92
 1.66    150.80  10033.35
 1.68    154.43  10456.67
 1.70    158.11  10896.46
 1.72    161.82  11353.34
 1.74    165.58  11827.95
 1.76    169.39  12320.93
 1.78    173.23  12832.97
 1.80    177.12  13364.77
 1.82    181.06  13917.06
 1.84    185.03  14490.59
 1.86    189.05  15086.15
 1.88    193.12  15704.55
 1.90    197.23  16346.62
 1.92    201.38  17013.22
 1.94    205.57  17705.28
 1.96    209.81  18423.70
 1.98    214.09  19169.46
 2.00    218.41  19943.57
 2.02    222.78  20747.03
 2.04    227.19  21580.94
 2.06    231.65  22446.40
 2.08    236.15  23344.55
 2.10    240.69  24276.60
 2.12    245.27  25243.77
 2.14    249.90  26247.32
 2.16    254.57  27288.59
 2.18    259.29  28368.95
 2.20    264.05  29489.79
 2.22    268.85  30652.58
 2.24    273.69  31858.87
 2.26    278.58  33110.18
 2.28    283.51  34408.16
 2.30    288.49  35754.49
 2.32    293.51  37150.93
 2.34    298.57  38599.24
 2.36    303.68  40101.32
 2.38    308.83  41659.09
 2.40    314.02  43274.55
 2.42    319.26  44949.76
 2.44    324.53  46686.90
 2.46    329.86  48488.13
 2.48    335.22  50355.77
 2.50    340.63  52292.20
 2.52    346.09  54299.88
 2.54    351.58  56381.32
 2.56    357.12  58539.19
 2.58    362.71  60776.20
 2.60    368.33  63095.17
 2.62    374.01  65499.03
 2.64    379.72  67990.77
 2.66    385.48  70573.54
 2.68    391.28  73250.56
 2.70    397.12  76025.24
 2.72    403.01  78900.91
 2.74    408.94  81881.23
 2.76    414.91  84969.90
 2.78    420.93  88170.79
 2.80    426.99  91487.80
 2.82    433.10  94925.09
 2.84    439.25  98486.85
 2.86    445.44 102177.56
 2.88    451.67 106001.70
 2.90    457.95 109964.02
 2.92    464.27 114069.31
 2.94    470.64 118322.73
 2.96    477.05 122729.44
 2.98    483.50 127294.78
 3.00    489.99 132024.33
 3.02    496.53 136923.86
 3.04    503.12 141999.44
 3.06    509.74 147257.20
 3.08    516.41 152703.44
 3.10    523.12 158344.77
 3.12    529.88 164188.20
 3.14    536.68 170240.66
 3.16    543.52 176509.44
 3.18    550.41 183002.11
 3.20    557.34 189726.67
 3.22    564.31 196691.02
 3.24    571.33 203903.67
 3.26    578.39 211373.11
 3.28    585.49 219108.41
 3.30    592.64 227118.80
 3.32    599.83 235413.92
 3.34    607.06 244003.53
 3.36    614.34 252898.19
 3.38    621.66 262108.09
 3.40    629.03 271644.53
 3.42    636.43 281518.69
 3.44    643.89 291742.28
 3.46    651.38 302327.69
 3.48    658.92 313287.13
 3.50    666.50 324633.59
 3.52    674.12 336380.59
 3.54    681.79 348542.16
 3.56    689.50 361132.50
 3.58    697.26 374166.22
 3.60    705.06 387658.94
 3.62    712.90 401626.56
 3.64    720.79 416085.44
 3.66    728.72 431052.22
 3.68    736.69 446544.78
 3.70    744.70 462581.38
 3.72    752.76 479180.63
 3.74    760.87 496361.88
 3.76    769.01 514144.94
 3.78    777.20 532551.06
 3.80    785.43 551601.06
 3.82    793.71 571317.88
 3.84    802.03 591723.69
 3.86    810.39 612842.63
 3.88    818.80 634699.06
 3.90    827.25 657318.38
 3.92    835.74 680726.69
 3.94    844.28 704951.38
 3.96    852.86 730019.81
 3.98    861.48 755962.31
 4.00    870.15 782806.63
 4.00    870.15 782806.63
